Español,Svenska,Engelska
el año,året,the year
el árbol,trädet,the tree
el ascensor,hissen,the elevator
el avión,flygplanet,the airplane
el bolígrafo,bläckpennan,the pen
el bus,bussen,the bus
el campo,landsbygden,the countryside
el coche,bilen,the car
el cuarto,rummet,the room
el cumpleaños,födelsedagen,the birthday
el día,dagen,the day
el dinero,pengarna,the money
el edificio,byggnaden,the building
el equipaje,bagaget,the bagage
el hogar,hemmet,the home
el jardín,trädgården,the garden
el lapicero,bläckpennan,the pen
el lápiz,pennan,the pencil
el mensaje,meddelandet,the message
el mes,månaden,the month
el niño,pojken,the boy
el país,landet,the country
el papel,pappret,the paper
el parque,parken,the park
el periódico,dagstidningen,the newspaper
el piso,golvet,the floor
el precio,priset,the price
el ruido,ljudet,the sound
el salón,klassrummet,the classroom
el sitio,platsen,the place
el sueño,drömmen,the dream
el teatro,teatern,the theatre
el tema,språket,the language
el viaje,resan,the trip
la avenida,avenyn,the avenue
la biblioteca,biblioteket,the biblioteque
la calle,gatan,the street
la camisa,trjöjan,the shirt
la carta,brevet,the letter
la ciudad,staden,the city
la cocina,köket,the citchen
la cuenta,checken,the cheque
la ducha,duschen,the shower
la entrada,ingången,the entrance
la escalera,trappan,the stairs
la escuela,skolan,the school
la fiesta,festen,the party
la frase,meningen,the sentence
la gente,folket,the people
la guerra,kriget,the war
la habitación,rummet,the room
la hoja,lövet,the leaf
la librería,bokhandeln,the bookstore
la llave,nyckeln,the key
la medicina,medicinen,the medicine
la musicá,musiken,the music
la obra,teatern,the theatre
la página,sidan,the side
la palabra,ordet,the word
la pared,väggen,the wall
la playa,stranden,the beach
la pergunta,frågan,the question
la puerta,dörren,the door
la salida,utgången,the exit
la salud,hälsan,the health
la semana,veckan,the week
la tarea,hemläxan,the homework
la tarjeta,vykortet,the postcard
